CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
9-76-1600083,NA,9-76-1600083-2016-02-25,WESTERN ENERGY ALLIA,BIZ,WESTERN WATERSHEDS P,NGO,,WESTERN ENERGY ALLIA v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,WESTERN ENERGY ALLIA,BIZ,WESTERN WATERSHEDS P,NGO,,WESTERN ENERGY ALLIA v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,WESTERN ENERGY ALLIA,BIZ,WESTERN WATERSHEDS P,NGO,,WESTERN ENERGY ALLIA v. WESTERN WATERSHEDS P
9-76-1600083,NA,9-76-1600083-2016-02-25,WYOMING STOCK GROWER,BIZ,WESTERN WATERSHEDS P,NGO,,WYOMING STOCK GROWER v. WESTERN WATERSHEDS P
9-73-9856838,NA,9-73-9856838-1983-04-21,ALCAN ET AL,BIZ,PEOPLE ET AL,OTHER,,ALCAN ET AL v. PEOPLE ET AL
11-3C-8801886,NA,11-3C-8801886-1988-10-11,FLORIDA SUGAR CA,BIZ,NA,OTHER,,FLORIDA SUGAR CA v. NA
0-90-8702076,NA,0-90-8702076-1994-07-27,INTER ET AL,BIZ,NATL ET AL,OTHER,,INTER ET AL v. NATL ET AL
9-81-9200479,NA,9-81-9200479-1992-03-26,NORTHWEST ET AL,BIZ,SEATTLE ET AL,OTHER,,NORTHWEST ET AL v. SEATTLE ET AL
9-79-9500000,NA,9-79-9500000-1995-12-21,NORTHWEST ET AL,BIZ,WEST ET AL,OTHER,,NORTHWEST ET AL v. WEST ET AL
8-63-8700021,NA,8-63-8700021-1987-02-26,PLATTE CHEMICAL,BIZ,NA,OTHER,,PLATTE CHEMICAL v. NA
4-20-9200075,NA,4-20-9200075-1992-03-12,WESTINGHOUSE,BIZ,RICHLAND-LEXIN,PUB_ORG,,WESTINGHOUSE v. RICHLAND-LEXIN
4-20-9402169,NA,4-20-9402169-1994-09-09,AUSTRIAN ET AL,BIZ,STATE ET AL,STA,,AUSTRIAN ET AL v. STATE ET AL
4-17-1400863,NA,4-17-1400863-2014-12-03,CLEAN AIR CAROLINA,BIZ,NORTH CAROLINA DEPAR,STA,,CLEAN AIR CAROLINA v. NORTH CAROLINA DEPAR
9-81-9601808,NA,9-81-9601808-1996-11-20,MIDWATER ET AL,BIZ,STATE ET AL,STA,,MIDWATER ET AL v. STATE ET AL
9-77-9200096,NA,9-77-9200096-1992-09-09,MOUNTAIN ET AL,BIZ,MONTANA ET AL,STA,,MOUNTAIN ET AL v. MONTANA ET AL
9-76-8304179,NA,9-76-8304179-1983-12-12,NORANDA ET AL,BIZ,STATE ET AL,STA,,NORANDA ET AL v. STATE ET AL
8-63-0200168,NA,8-63-0200168-2002-04-08,"1,000 ET AL",CIVIC,MINETA ET AL,FED,,"1,000 ET AL v. MINETA ET AL"
9-77-1900128,NA,9-77-1900128-2019-10-21,NEIGHBORS AGAINST BI,CIVIC,NATIONAL PARK SERVIC,FED,,NEIGHBORS AGAINST BI v. NATIONAL PARK SERVIC
5-42-0300222,NA,5-42-0300222-2001-12-26,NEIGHBORS ET AL,CIVIC,USA ET AL,FED,,NEIGHBORS ET AL v. USA ET AL
9-70-2000328,NA,9-70-2000328-2020-02-12,NEIGHBORS OF THE MOG,CIVIC,UNITED STATES FOREST,FED,,NEIGHBORS OF THE MOG v. UNITED STATES FOREST
8-67-8800274,NA,8-67-8800274-1988-03-25,PEOPLE OF OMAHA,CIVIC,ICC ET AL,FED,,PEOPLE OF OMAHA v. ICC ET AL
3-12-9505210,NA,3-12-9505210-1994-09-01,PUB ET AL,CIVIC,FED ET AL,FED,,PUB ET AL v. FED ET AL
9-80-9100155,NA,9-80-9100155-1991-04-18,RADIATION,CIVIC,USA ET AL,FED,,RADIATION v. USA ET AL
4-23-0700587,NA,4-23-0700587-2007-10-15,VIRGINIANS FOR APPRO,CIVIC,CAPKA,IND,,VIRGINIANS FOR APPRO v. CAPKA
9-81-9201156,NA,9-81-9201156-1992-07-22,PUBLIC ET AL,CIVIC,NORTHWEST ET A,NGO,,PUBLIC ET AL v. NORTHWEST ET A
9-71-8703904,NA,9-71-8703904-1987-07-23,EPA,FED,MOBIL,BIZ,,EPA v. MOBIL
0-90-1501419,NA,0-90-1501419-2015-08-31,HAALAND,FED,SWANSON GROUP MFG. L,BIZ,,HAALAND v. SWANSON GROUP MFG. L
