fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
9-72-9800806-1998-05-05-1,9,72,2,9800806,1998-05-05,1998-10-20,CALIFORNIA SPORT,NGO,LIVE OAK CITY,LOC,14
0-90-9702563-1997-10-30-1,0,90,1,9702563,1997-10-30,1997-12-31,"ANIMAL PROTECT INST, ET AL",NGO,"STANTON, ET AL",FED,6
2-08-9402744-1994-04-15-1,2,08,7,9402744,1994-04-15,2001-06-26,HUDSON RIVERKEEPER,NGO,"HARBOR AT HASTINGS, ET AL",BIZ,18
9-72-0401631-2004-08-11-1,9,72,2,0401631,2004-08-11,2005-02-09,KLAMATH-SISKIYOU,NGO,"USFS, ET AL",FED,12
10-88-0700292-2007-05-03-1,10,88,2,0700292,2007-05-03,2007-10-03,SOUTHERN UTAH WILDERNESS ALLIA,NGO,BANKERT,BIZ,19
9-79-0200728-2002-06-04-1,9,79,3,0200728,2002-06-04,2002-09-18,LEAGUE OF WILDERNESS DEFENDERS,NGO,UNITED STATES FOREST SERVICE,FED,6
9-75-0900598-2009-12-16-1,9,75,1,0900598,2009-12-16,2011-02-09,"TURTLE ISLAND RESTORATI, ET AL",NGO,"UNITED STATES DEPARTMEN, ET AL",FED,13
8-64-1002178-2010-05-28-1,8,64,0,1002178,2010-05-28,2012-04-12,"MINNESOTA CENTER FOR EN, ET AL",NGO,"UNITED STATES FOREST SE, ET AL",FED,6
4-16-0702605-2008-05-16-1,4,16,1,0702605,2008-05-16,2008-06-10,"SOUTH RIVERKEEPER, ET AL",NGO,"GREENBERG GIBBONS COMME, ET AL",BIZ,13
9-71-1604480-2016-08-09-1,9,71,3,1604480,2016-08-09,2018-10-19,DERMODY,NGO,"VOLKSWAGEN GROUP OF AME, ET AL",BIZ,12
9-73-0800168-2008-01-10-1,9,73,2,0800168,2008-01-10,2008-10-16,CENTER FOR BIOLOGICAL DIVERSIT,NGO,DEPARTMENT OF ENERGY,FED,3
7-52-9604768-1996-08-02-1,7,52,1,9604768,1996-08-02,1997-01-16,"SIERRA CLUB IL, ET AL",NGO,"US TRAN, ET AL",FED,6
9-71-0904087-2009-09-03-1,9,71,3,0904087,2009-09-03,2010-12-22,"CENTER FOR BIOLOGICAL D, ET AL",NGO,"LUBCHENCO, ET AL",BIZ,6
5-3L-1003879-2010-10-20-1,5,3L,2,1003879,2010-10-20,2017-03-28,"DEFENDERS OF WILDLIFE, ET AL",NGO,"BP P.L.C., ET AL",BIZ,6
10-82-8901242-1989-07-24-1,10,82,1,8901242,1989-07-24,1990-02-13,SIERRA CLUB,NGO,"TODD, LLOYD",FED,6
